GENESIS-Tabelle: 12111-0004
Bevölkerung (Zensus): Deutschland, Stichtag, Geschlecht,;;;;
Altersgruppen;;;;
Zensus;;;;
Deutschland;;;;
Bevölkerung (Zensus) (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
09.05.2011;unter 3 Jahre;1018505;966018;1984523
09.05.2011;3 bis unter 6 Jahre;1041011;984172;2025183
09.05.2011;6 bis unter 15 Jahre;3485685;3309900;6795585
09.05.2011;15 bis unter 18 Jahre;1195380;1133681;2329061
09.05.2011;18 bis unter 25 Jahre;3325707;3194751;6520458
09.05.2011;25 bis unter 30 Jahre;2455885;2416648;4872533
09.05.2011;30 bis unter 40 Jahre;4763360;4731444;9494804
09.05.2011;40 bis unter 50 Jahre;6756735;6594133;13350868
09.05.2011;50 bis unter 65 Jahre;8081342;8247217;16328559
09.05.2011;65 bis unter 75 Jahre;4246483;4788107;9034590
09.05.2011;75 Jahre und mehr;2775848;4707683;7483531
09.05.2011;Insgesamt;39145941;41073754;80219695
__________
"Die Einwohnerzahl (Bevölkerung insgesamt) wurde im Rahmen
eines eigens entwickelten Verfahrens gesondert ermittelt.
Sie wird im Gegensatz zu den anderen Ergebnissen auch keinem
Geheimhaltungsverfahren unterzogen. Die Summe aus den
Teilbevölkerungsgruppen kann daher in Einzelfällen von der
Einwohnerzahl (Bevölkerung insgesamt) abweichen."
© Statistisches Bundesamt (Destatis), 2021
Stand: 15.07.2021 / 12:02:41
