ObjectId,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall,Refdatum,NeuGenesen,AnzahlGenesen,IstErkrankungsbeginn,Altersgruppe2
1735001,12,Brandenburg,SK Cottbus,A05-A14,M,2,0,2021/01/15 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/15 00:00:00+00,0,2,0,Nicht übermittelt
1735002,12,Brandenburg,SK Cottbus,A05-A14,M,2,0,2021/01/16 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/16 00:00:00+00,0,2,0,Nicht übermittelt
1735003,12,Brandenburg,SK Cottbus,A05-A14,M,1,0,2021/01/17 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/11 00:00:00+00,0,1,1,Nicht übermittelt
1735004,12,Brandenburg,SK Cottbus,A05-A14,M,1,0,2021/01/20 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/20 00:00:00+00,0,1,1,Nicht übermittelt
1735005,12,Brandenburg,SK Cottbus,A05-A14,M,1,0,2021/01/20 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/20 00:00:00+00,0,1,0,Nicht übermittelt
1735006,12,Brandenburg,SK Cottbus,A05-A14,M,2,0,2021/01/21 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/21 00:00:00+00,0,2,0,Nicht übermittelt
1735007,12,Brandenburg,SK Cottbus,A05-A14,M,1,0,2021/01/23 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/23 00:00:00+00,0,1,0,Nicht übermittelt
1735008,12,Brandenburg,SK Cottbus,A05-A14,M,2,0,2021/01/24 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/24 00:00:00+00,0,2,0,Nicht übermittelt
1735009,12,Brandenburg,SK Cottbus,A05-A14,M,2,0,2021/01/26 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/26 00:00:00+00,0,2,0,Nicht übermittelt
1735010,12,Brandenburg,SK Cottbus,A05-A14,M,2,0,2021/01/27 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/27 00:00:00+00,0,2,0,Nicht übermittelt
1735011,12,Brandenburg,SK Cottbus,A05-A14,M,1,0,2021/01/28 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/28 00:00:00+00,0,1,0,Nicht übermittelt
1735012,12,Brandenburg,SK Cottbus,A05-A14,M,3,0,2021/01/30 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/01/30 00:00:00+00,0,3,0,Nicht übermittelt
1735013,12,Brandenburg,SK Cottbus,A05-A14,M,2,0,2021/02/02 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/02/02 00:00:00+00,0,2,0,Nicht übermittelt
1735014,12,Brandenburg,SK Cottbus,A05-A14,M,1,0,2021/02/05 00:00:00+00,12052,"17.07.2021, 00:00 Uhr",0,-9,2021/02/05 00:00:00+00,0,1,0,Nicht übermittelt
