areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-07-13,11446,5233205
overview,United Kingdom,K02000001,2021-07-12,38075,5221759
overview,United Kingdom,K02000001,2021-07-11,29093,5183684
overview,United Kingdom,K02000001,2021-07-10,27020,5154591
overview,United Kingdom,K02000001,2021-07-09,31947,5127571
overview,United Kingdom,K02000001,2021-07-08,33227,5095624
overview,United Kingdom,K02000001,2021-07-07,37715,5062397
overview,United Kingdom,K02000001,2021-07-06,35248,5024682
overview,United Kingdom,K02000001,2021-07-05,34101,4989434
overview,United Kingdom,K02000001,2021-07-04,24646,4955333
overview,United Kingdom,K02000001,2021-07-03,23464,4930687
overview,United Kingdom,K02000001,2021-07-02,25723,4907223
overview,United Kingdom,K02000001,2021-07-01,28072,4881500
overview,United Kingdom,K02000001,2021-06-30,28314,4853428
overview,United Kingdom,K02000001,2021-06-29,27591,4825114
overview,United Kingdom,K02000001,2021-06-28,27729,4797523
overview,United Kingdom,K02000001,2021-06-27,18135,4769794
overview,United Kingdom,K02000001,2021-06-26,15967,4751659
overview,United Kingdom,K02000001,2021-06-25,17776,4735692
overview,United Kingdom,K02000001,2021-06-24,18269,4717916
overview,United Kingdom,K02000001,2021-06-23,17909,4699647
overview,United Kingdom,K02000001,2021-06-22,16991,4681738
overview,United Kingdom,K02000001,2021-06-21,15956,4664747
overview,United Kingdom,K02000001,2021-06-20,9879,4648791
overview,United Kingdom,K02000001,2021-06-19,8257,4638912
overview,United Kingdom,K02000001,2021-06-18,10058,4630655
overview,United Kingdom,K02000001,2021-06-17,10771,4620597
overview,United Kingdom,K02000001,2021-06-16,10786,4609826
overview,United Kingdom,K02000001,2021-06-15,10506,4599040
overview,United Kingdom,K02000001,2021-06-14,10110,4588534
overview,United Kingdom,K02000001,2021-06-13,6950,4578424
overview,United Kingdom,K02000001,2021-06-12,6112,4571474
overview,United Kingdom,K02000001,2021-06-11,7445,4565362
overview,United Kingdom,K02000001,2021-06-10,7845,4557917
overview,United Kingdom,K02000001,2021-06-09,7987,4550072
overview,United Kingdom,K02000001,2021-06-08,7677,4542085
overview,United Kingdom,K02000001,2021-06-07,7740,4534408
overview,United Kingdom,K02000001,2021-06-06,5408,4526668
overview,United Kingdom,K02000001,2021-06-05,4626,4521260
overview,United Kingdom,K02000001,2021-06-04,5716,4516634
overview,United Kingdom,K02000001,2021-06-03,6104,4510918
overview,United Kingdom,K02000001,2021-06-02,6061,4504814
overview,United Kingdom,K02000001,2021-06-01,5252,4498753
overview,United Kingdom,K02000001,2021-05-31,3802,4493501
overview,United Kingdom,K02000001,2021-05-30,3100,4489699
overview,United Kingdom,K02000001,2021-05-29,2933,4486599
overview,United Kingdom,K02000001,2021-05-28,3491,4483666
overview,United Kingdom,K02000001,2021-05-27,3637,4480175
overview,United Kingdom,K02000001,2021-05-26,3801,4476538
overview,United Kingdom,K02000001,2021-05-25,3297,4472737
overview,United Kingdom,K02000001,2021-05-24,3233,4469440
overview,United Kingdom,K02000001,2021-05-23,2239,4466207
overview,United Kingdom,K02000001,2021-05-22,1932,4463968
overview,United Kingdom,K02000001,2021-05-21,2290,4462036
overview,United Kingdom,K02000001,2021-05-20,2426,4459746
overview,United Kingdom,K02000001,2021-05-19,2712,4457320
overview,United Kingdom,K02000001,2021-05-18,2705,4454608
overview,United Kingdom,K02000001,2021-05-17,2762,4451903
