facility_id,district_id
5,3
153,2
229,1
310,3
525,5
545,7
562,10
823,10
1054,6
1165,0
1204,3
1311,9
1600,8
1755,5
1762,9
1774,5
2068,7
2231,4
2234,8
2301,10
2332,8
2645,9
2671,10
2733,1
2878,7
2905,4
2941,7
2945,10
3058,7
3089,0
3315,5
3445,1
3645,1
3888,1
4021,8
4064,3
4076,5
4086,7
4298,6
4434,6
4540,0
4842,7
4889,4
5067,2
5121,2
5284,5
5416,6
5453,4
5595,8
5831,8
5957,8
5990,6
6045,0
6051,9
6349,9
6362,8
6476,0
6504,8
6666,10
7103,2
7126,7
7432,2
7506,3
7532,10
7799,9
8134,3
8243,1
8277,7
8404,9
8422,6
8527,6
8605,2
8785,3
8928,4
9340,6
9380,9
9499,10
9528,0
9531,0
9658,3
9679,6
9748,9
9806,9
9845,5
10240,4
10396,3
10410,4
10544,1
10587,6
10834,3
10844,7
10874,8
10947,7
11016,7
11113,0
11346,3
11431,10
11463,5
11542,9
11710,4
11879,6
11915,0
12038,1
12459,7
12808,5
13335,5
13453,6
13622,9
13783,3
13798,6
13855,8
13869,4
13944,4
14069,7
14125,7
14220,9
14298,6
14311,3
14524,1
14586,8
14616,9
14686,8
14746,5
14827,7
14940,3
15090,5
15157,8
15172,8
15202,0
15289,7
15459,6
15469,1
15651,5
15688,7
15752,5
15948,3
15986,6
16068,6
16195,2
16296,5
16457,6
16464,1
16487,4
16662,7
16789,8
16919,3
16968,3
16988,1
17196,6
17212,1
17222,9
17228,9
17279,4
17336,9
17383,5
17419,7
17547,9
17605,10
17689,6
17782,1
17852,6
17969,3
18031,0
18035,3
18135,5
18310,3
18380,0
18608,2
18756,4
19101,2
19167,5
19447,2
19527,4
19722,4
19840,1
19995,8
20072,4
20131,3
20349,10
20489,1
20638,9
20745,5
20775,4
20986,7
21122,1
21228,3
21380,1
21424,1
21457,0
21606,5
21623,0
21685,10
21767,8
21846,3
21997,6
22063,5
22244,1
22294,4
22420,1
22510,2
22516,7
22904,4
22937,10
22947,2
23023,10
23188,1
23415,3
23590,10
23688,5
23716,5
23841,10
24120,10
24195,6
24199,9
24317,0
24662,6
25045,6
25095,4
25201,8
25584,9
26050,9
26101,10
26136,3
26172,8
26411,6
26443,8
26479,4
26486,1
26624,6
26726,2
26935,6
27017,4
27489,7
27572,7
27622,6
27676,6
27825,2
27921,7
27996,2
28373,6
28426,1
28549,9
28798,9
28810,4
28998,8
29285,1
29435,5
29522,2
29546,0
29699,0
29723,0
