facility,district
1204,0
3315,0
4842,0
6051,0
6504,0
9531,0
9658,0
11346,0
12038,0
15289,0
18035,0
18608,0
21606,0
21685,0
24662,0
29699,0
29723,0
29823,0
31465,0
32433,0
35348,0
36303,0
38464,0
39242,0
39421,0
39844,0
40205,0
42275,0
42640,0
43718,0
43806,0
44012,0
44430,0
45734,0
45850,0
47091,0
49020,0
51248,0
52862,0
52956,0
56704,0
60081,0
63555,0
66690,0
67341,0
68102,0
73691,0
74154,0
75964,0
77434,0
78459,0
83574,0
84820,0
86104,0
89406,0
89852,0
90839,0
91596,0
91921,0
94738,0
94876,0
100775,0
103438,0
104863,0
107622,0
109177,0
112365,0
112438,0
113367,0
114792,0
114836,0
116599,0
117008,0
121443,0
121724,0
122540,0
122563,0
123781,0
124449,0
124768,0
126748,0
129202,0
131003,0
132643,0
134978,0
136385,0
136401,0
136580,0
140670,0
140680,0
141106,0
143318,0
143927,0
145545,0
146125,0
146321,0
149410,0
153125,0
154598,0
156297,0
156415,0
156781,0
157153,0
157631,0
162849,0
164394,0
167848,0
168135,0
169571,0
174059,0
175023,0
175215,0
176185,0
177040,0
177412,0
180811,0
182497,0
183227,0
184130,0
184458,0
185269,0
187142,0
188068,0
188662,0
189329,0
190769,0
193257,0
193382,0
194404,0
195550,0
196067,0
196217,0
197758,0
198157,0
198303,0
199494,0
199531,0
200237,0
200591,0
200885,0
203860,0
204053,0
206376,0
209702,0
210817,0
210893,0
211590,0
216309,0
219787,0
219821,0
221484,0
223773,0
224212,0
224424,0
225575,0
227128,0
229817,0
232279,0
233341,0
233374,0
234543,0
235234,0
235671,0
237085,0
238376,0
238659,0
240609,0
240627,0
244892,0
245849,0
246521,0
247485,0
248665,0
249825,0
252303,0
253581,0
254330,0
259151,0
261217,0
262662,0
262773,0
263963,0
264255,0
264287,0
264337,0
265786,0
265844,0
267370,0
267738,0
269656,0
270194,0
270347,0
270391,0
271147,0
271980,0
273069,0
274571,0
275714,0
279212,0
279614,0
279920,0
281722,0
285312,0
287252,0
287395,0
289173,0
290144,0
290212,0
290214,0
291471,0
293421,0
294191,0
297281,0
297919,0
298214,0
299985,0
300841,0
302196,0
302523,0
302763,0
302897,0
304655,0
304874,0
306145,0
306920,0
307529,0
308910,0
309657,0
309792,0
310008,0
311068,0
313036,0
313591,0
314842,0
316718,0
317089,0
317736,0
317833,0
320057,0
320500,0
321977,0
322056,0
323246,0
324787,0
324944,0
325036,0
325327,0
327837,0
328195,0
328380,0
330032,0
334169,0
336996,0
338492,0
339475,0
342093,0
343588,0
344255,0
346358,0
353434,0
354309,0
354487,0
354553,0
356246,0
357740,0
359774,0
361845,0
361982,0
366054,0
366622,0
366920,0
367408,0
367776,0
368271,0
370253,0
371750,0
371913,0
372505,0
372695,0
372764,0
373165,0
373589,0
373734,0
374177,0
374661,0
375238,0
375317,0
375344,0
377641,0
379742,0
380355,0
383312,0
383995,0
386444,0
387028,0
388082,0
388375,0
388800,0
389299,0
389651,0
391171,0
391610,0
392724,0
396044,0
396056,0
399044,0
399226,0
399733,0
399944,0
400542,0
401812,0
405151,0
405714,0
406618,0
407375,0
407601,0
407851,0
407924,0
408493,0
409350,0
411072,0
412256,0
412489,0
412829,0
413696,0
413742,0
414003,0
415336,0
420696,0
421038,0
421247,0
421419,0
425670,0
427826,0
427996,0
428861,0
431307,0
431504,0
432767,0
432810,0
433501,0
433811,0
435306,0
435612,0
436031,0
436831,0
437195,0
439070,0
439916,0
440220,0
440831,0
441733,0
441917,0
442462,0
444106,0
444122,0
446234,0
447352,0
450124,0
450573,0
456547,0
457026,0
457301,0
457406,0
457507,0
458419,0
458496,0
458527,0
461890,0
462816,0
463396,0
464185,0
464530,0
469174,0
469419,0
470187,0
471866,0
472272,0
472758,0
473141,0
473270,0
473488,0
474183,0
474210,0
476950,0
479653,0
480106,0
480555,0
481941,0
481984,0
482389,0
482783,0
483611,0
486055,0
487191,0
